,messageID,sequenceID,messageHeading,eventType,publishedDateTime,participant_MarketParticipantID,assetID,assetEICCode,affectedUnit,assetFuelType,assetNormalCapacity,availableCapacity,eventStart,eventEnd,durationUncertainty,cause,eventStatus,activeFlag,revisionNumber,messageType,unavailabilityType,unavailableCapacity,assetType,affectedArea,relatedInformation
0,48X000000000077M-NGET-RMT-00007727,2,Planned Unavailability of Generation Unit,Consumption unavailability,2022-11-11 09:18:10Z,SSEGEN,T_FOYE-2,48W000000FOYE-22,T_FOYE-2,Hydro Pumped Storage,150,0,2022-11-10 23:00:00,2022-11-11 11:30:00,,B20,Active,True,2,Unavailabilities of Electricity Facilities,Planned,150,,N,Planned - Ongoing
1,48X000000000077M-NGET-RMT-00007727,2,,,2022-11-11 09:18:10Z,,T_FOYE-2,48W000000FOYE-22,T_FOYE-2,Hydro Pumped Storage,150,0,2022-11-11 11:30:00,2022-11-11 11:30:00,,B20,,,2,,,150,,,Planned - Ongoing
