,messageID,sequenceID,messageHeading,eventType,publishedDateTime,participant_MarketParticipantID,assetID,assetEICCode,affectedUnit,assetFuelType,assetNormalCapacity,availableCapacity,eventStart,eventEnd,durationUncertainty,cause,eventStatus,activeFlag,revisionNumber,messageType,unavailabilityType,unavailableCapacity,assetType,affectedArea,relatedInformation
0,48X000000000073U-NGET-RMT-00007736,1,Planned Unavailability of Generation Unit,Production unavailability,2022-11-17 11:10:21Z,KGL,T_KEAD-2,48W000000KEAD-23,T_KEAD-2,Fossil Gas,893.0,0.0,2023-09-17 23:00:00,2023-09-24 23:00:00,,B19,Active,True,1,Unavailabilities of Electricity Facilities,Planned,893.0,,N,Planned - Future
1,48X000000000073U-NGET-RMT-00007736,1,,,2022-11-17 11:10:21Z,,T_KEAD-2,48W000000KEAD-23,T_KEAD-2,Fossil Gas,893.0,0.0,2023-09-24 23:00:00,2023-09-24 23:00:00,,B19,,,1,,,893.0,,,Planned - Future
