,messageID,sequenceID,messageHeading,eventType,publishedDateTime,participant_MarketParticipantID,assetID,assetEICCode,affectedUnit,assetFuelType,assetNormalCapacity,availableCapacity,eventStart,eventEnd,durationUncertainty,cause,eventStatus,activeFlag,revisionNumber,messageType,unavailabilityType,unavailableCapacity,assetType,affectedArea,relatedInformation
0,48X000000000073U-NGET-RMT-00007735,1,Planned Unavailability of Generation Unit,Production unavailability,2022-11-17 11:10:18Z,KGL,T_KEAD-1,48W000000KEAD-15,T_KEAD-1,Fossil Gas,755.0,0.0,2023-09-17 23:00:00,2023-09-24 23:00:00,,B19,Active,True,1,Unavailabilities of Electricity Facilities,Planned,755.0,,N,Planned - Future
1,48X000000000073U-NGET-RMT-00007735,1,,,2022-11-17 11:10:18Z,,T_KEAD-1,48W000000KEAD-15,T_KEAD-1,Fossil Gas,755.0,0.0,2023-09-24 23:00:00,2023-09-24 23:00:00,,B19,,,1,,,755.0,,,Planned - Future
